Parent Airline,Airline,Aircraft Type,Total,Unit Cost,Total Cost (Current)
Aegean Airlines,Aegean Airlines,Airbus A319,4,90,90
Aegean Airlines,Olympic Air,Airbus A319,8,90,0
Aegean Airlines,Aegean Airlines,Airbus A320,41,98,3724
Aegean Airlines,Olympic Air,Airbus A320,9,98,0
Aegean Airlines,Aegean Airlines,Airbus A321,8,115,919
Aegean Airlines,Olympic Air,ATR 42/72,2,22,44
Aegean Airlines,Aegean Airlines,ATR 42/72,6,22,0
Aegean Airlines,Aegean Airlines,Boeing 737,17,74,0
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,6,14,0
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,19,31,376
Aeroflot,Aeroflot,Airbus A310,14,75,0
Aeroflot,Rossiya Airlines,Airbus A319,31,90,233
Aeroflot,Aeroflot,Airbus A319,15,90,0
Aeroflot,Aurora Airlines,Airbus A319,10,90,896
Aeroflot,Aeroflot,Airbus A320,75,98,6958
Aeroflot,Rossiya Airlines,Airbus A320,13,98,490
Aeroflot,Aeroflot,Airbus A321,39,115,3562
Aeroflot,Aeroflot,Airbus A330,22,240,528
Aeroflot,Aeroflot,Antonov An-124,3,75,0
Aeroflot,Rossiya Airlines,Antonov An-124,2,75,0
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,6,28,0
Aeroflot,Aeroflot,Boeing 737,37,74,148
Aeroflot,Pobeda,Boeing 737,12,74,888
Aeroflot,Rossiya Airlines,Boeing 737,23,74,1258
Aeroflot,Aurora Airlines,Boeing 737,5,74,0
Aeroflot,Rossiya Airlines,Boeing 747,9,316,2211
Aeroflot,Aeroflot,Boeing 767,13,187,0
Aeroflot,Rossiya Airlines,Boeing 767,3,187,0
Aeroflot,Aeroflot,Boeing 777,17,295,4418
Aeroflot,Rossiya Airlines,Boeing 777,12,295,1767
Aeroflot,Aeroflot,Boeing 787,7,265,0
Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,12,31,250
Aeroflot,Rossiya Airlines,Ilyushin Il-62,1,45,0
Aeroflot,Aeroflot,Ilyushin Il-96,10,45,0
Aeroflot,Rossiya Airlines,Ilyushin Il-96,5,45,0
Aeroflot,Aeroflot,Irkut MC-21,2,82,0
Aeroflot,Aeroflot,McDonnell Douglas DC-10,3,145,0
Aeroflot,Aeroflot,McDonnell Douglas MD-11,2,175,0
Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,5,28,0
Aeroflot,Aeroflot,Sukhoi Superjet 100,40,28,825
Aeroflot,Aeroflot,Tupolev Tu-134,1,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-154,1,16,0
Aeroflot,Aeroflot,Tupolev Tu-204,3,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-204,2,16,0
Aeroflot,Rossiya Airlines,Tupolev Tu-214,3,16,0
Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2,7,13
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,5,75,0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,2,98,0
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,10,240,216
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,13,216,1078
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,118,74,2959
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,8,74,0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,17,316,0
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,1,73,0
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,27,46,1201
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,14,45,0
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,7,45,0
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,28,45,0
Air Algerie,Air Algerie,Airbus A300,2,75,0
Air Algerie,Air Algerie,Airbus A310,6,75,0
Air Algerie,Air Algerie,Airbus A320,4,98,0
Air Algerie,Air Algerie,Airbus A330,12,240,192
Air Algerie,Air Algerie,Airbus A340,3,216,0
Air Algerie,Air Algerie,ATR 42/72,15,22,332
Air Algerie,Air Algerie,Boeing 737,70,74,2293
Air Algerie,Air Algerie,Boeing 747,14,316,0
Air Algerie,Air Algerie,Boeing 767,9,187,374
Air Algerie,Air Algerie,Boeing 777,2,295,0
Air Algerie,Air Algerie,Boeing 787,2,265,0
Air Algerie,Air Algerie,McDonnell Douglas DC-10,2,145,0
Air Algerie,Air Algerie,McDonnell Douglas DC-8,24,6,0
Air Arabia,Air Arabia,Airbus A320,66,98,3724
Air Arabia,Air Arabia Egypt,Airbus A320,3,98,98
Air Arabia,Air Arabia Jordan,Airbus A320,3,98,196
Air Arabia,Air Arabia Maroc,Airbus A320,10,98,490
Air Astana,Air Astana,Airbus A319,1,90,90
Air Astana,Air Astana,Airbus A320,15,98,882
Air Astana,Air Astana,Airbus A321,4,115,460
Air Astana,Air Astana,Boeing 737,4,74,0
Air Astana,Air Astana,Boeing 757,5,73,363
Air Astana,Air Astana,Boeing 767,5,187,561
Air Astana,Air Astana,Boeing 787,5,265,0
Air Astana,Air Astana,Embraer ERJ-190,9,46,416
Air Astana,Air Astana,Fokker F50 / F60,6,18,0
Air Berlin,Air Berlin,Airbus A319,21,90,538
Air Berlin,Air Berlin,Airbus A320,111,98,5292
Air Berlin,Air Berlin,Airbus A321,23,115,2413
Air Berlin,Air Berlin,Airbus A330,20,240,36
Air Berlin,Air Berlin,ATR 42/72,1,22,0
Air Berlin,Air Berlin,Boeing 737,155,74,1036
Air Berlin,Air Berlin,Boeing 757,4,73,0
Air Berlin,Air Berlin,British Aerospace BAe 146/Avro RJ,4,14,0
Air Berlin,Air Berlin,De Havilland Canada DHC-8 Dash 8,20,31,626
Air Berlin,Air Berlin,Embraer ERJ-190,3,46,0
Air Berlin,Air Berlin,Fokker F70 / F100,18,20,0
Air Berlin,Air Berlin,McDonnell Douglas MD-80,1,45,0
Air Canada,Air Canada,Airbus A319,48,90,1344
Air Canada,Air Canada Jetz,Airbus A319,5,90,269
Air Canada,Air Canada Rouge,Airbus A319,20,90,1792
Air Canada,Air Canada,Airbus A320,55,98,4116
Air Canada,Air Canada Jetz,Airbus A320,5,132,0
Air Canada,Air Canada,Airbus A321,18,115,1724
Air Canada,Air Canada Rouge,Airbus A321,5,115,575
Air Canada,Air Canada,Airbus A330,8,240,192
Air Canada,Air Canada,Airbus A340,15,216,0
Air Canada,Air Canada,Boeing 727,28,4,0
Air Canada,Air Canada,Boeing 737,44,74,0
Air Canada,Air Canada Jetz,Boeing 737,2,74,0
Air Canada,Air Canada,Boeing 747,15,316,0
Air Canada,Air Canada,Boeing 767,63,187,2804
Air Canada,Air Canada Rouge,Boeing 767,19,187,3551
Air Canada,Air Canada,Boeing 777,25,295,7364
Air Canada,Air Canada,Boeing 787 Dreamliner,24,265,5567
Air Canada,Air Canada,Bombardier CS300,2,72,0
Air Canada,Air Canada,Canadair CRJ-100 Series,26,32,0
Air Canada,Air Canada Regional,Canadair CRJ-100 Series,1,32,32
Air Canada,Air Canada,Embraer ERJ-170,15,39,0
Air Canada,Air Canada,Embraer ERJ-190,45,46,1155
Air Canada,Air Canada,McDonnell Douglas DC-8,43,6,0
Air Canada,Air Canada,McDonnell Douglas DC-9,64,45,0
Air China,Air Macau (66.9%),Airbus A300,8,75,0
Air China,Air China,Airbus A319,36,90,2957
Air China,Shenzhen Airlines,Airbus A319,5,90,448
Air China,Air Macau (66.9%),Airbus A319,5,90,358
Air China,Air China,Airbus A320,50,98,4214
